[Header],,,
Run_Name,230622_N_I_060,,
Run_Dir,/nfs/APL_Genomics/230622_N_I_060/,,
Seq_Type,Illumina,# Illumina or Nanopore,
Base_Call,No,# Yes or No,
,,,
[Directories],,,
ncov,/nfs/Genomics_DEV/projects/alindsay/Projects/seq-sample-split/results/ncov/April/230622_N_I_060,,
ncov-ww,/nfs/Genomics_DEV/projects/alindsay/Projects/seq-sample-split/results/ncov-ww/April/230622_N_I_060,,
,,,
[Pipelines],,,
ncov,/nfs/APL_Genomics/apps/production/covid/pl_ncov_auto_V7.py,,
ncov-ww,/nfs/APL_Genomics/apps/production/covid/pl_ncov_auto_V7.py,,
,,,
[Samples],,,
Sample_ID,Sample_Pos,Sample_Group,Control
S1,1,ncov,
S2,2,ncov,
S3,3,ncov,
S4,4,ncov,
S5,5,ncov,
S6,6,ncov,
S7,7,ncov,
S8,8,ncov,
S9,9,ncov,
S10,10,ncov,
S11,11,ncov,
S12,12,ncov,
S13,13,ncov,
S14,14,ncov,
S15,15,ncov,
S16,16,ncov,
S17,17,ncov,
S18,18,ncov,
S19,19,ncov,
S20,20,ncov,
S21,21,ncov,
S22,22,ncov,
S23,23,ncov,
S24,24,ncov,
S25,25,ncov,
S26,26,ncov,
S27,27,ncov,
S28,28,ncov,
S29,29,ncov,
S30,30,ncov,
S31,31,ncov,
S32,32,ncov,
S33,33,ncov,
S34,34,ncov,
S35,35,ncov,
S36,36,ncov,
S37,37,ncov,
S38,38,ncov,
S39,39,ncov,
S40,40,ncov,
S41,41,ncov,
S42,42,ncov,
S43,43,ncov,
S44,44,ncov,
S45,45,ncov,negative
S46,46,ncov,21-117-036013
S47,47,ncov,21-081-024150 
S48,48,ncov,negative
S49,49,ncov-ww,
S50,50,ncov-ww,
S51,51,ncov-ww,
S52,52,ncov-ww,
S53,53,ncov-ww,
S54,54,ncov-ww,
S55,55,ncov-ww,
S56,56,ncov-ww,
S57,57,ncov-ww,
S58,58,ncov-ww,
S59,59,ncov-ww,
S60,60,ncov-ww,
S61,61,ncov-ww,
S62,62,ncov-ww,
S63,63,ncov-ww,
S64,64,ncov-ww,
S65,65,ncov-ww,
S66,66,ncov-ww,
S67,67,ncov-ww,
S68,68,ncov-ww,
S69,69,ncov-ww,
S70,70,ncov-ww,
S71,71,ncov-ww,ncov-ww1
S72,72,ncov-ww,negative
